name,n
Epicauta BADL101,6
Eristalis near_obscurus,6
Eucera (Synhalonia),6
Euodynerus BADL1,6
Evylaeus 6colev,6
Evylaeus 9wyev,6
Hylaeus illinoisensis/species A,6
Lasioglossum 14WYEV,6
Lasioglossum 16UT,6
Lasioglossum 19col,6
Lasioglossum 26LAS,6
Lasioglossum 28WY,6
Lasioglossum 29CAL,6
Lasioglossum 30WY,6
Lasioglossum 45LAS,6
Lasioglossum 6UT,6
Lasioglossum 6col,6
Lasioglossum 7UT,6
Lasioglossum 8WyEv,6
Lasioglossum 9wy,6
Lasioglossum cephalotes?,6
Lasioglossum cf_comulum,6
Lasioglossum ephialtum?,6
Lasioglossum near_illinoense,6
Megachile brevis/mendica,6
Melissodes species_B,6
Nomada armatella?,6
Nomada near_integerrima,6
Osmia new_species_2,6
Perdita per1,6
Philanthus BADL1,6
Pseneo punctatus_carolina,6
Sphecodes BADL100,6
Stenodynerus cf_blandus,6
Stenodynerus fundatiformis_gonosceles,6
ceratina strenua,6
Afreumenes aethiopicus_aethiopicus,5
Agapostemon species_A,5
Ammosphex angularis_group,5
Ammosphex cf_parvulus,5
Andrena Logan_species_7,5
Aporinellus cf_basalis,5
Arachnospila fumipennis_fumipennis,5
Asilidae,5
Bembecinus cf. moneduloides,5
Cerceris cf_kennicottii,5
Coleoptera BADL104,5
Colletes lutzi_lutzi,5
Dioxys producta_producta,5
Euodynerus BADL101,5
Euodynerus BADL103,5
Evagetes cf_hyacinthinus,5
Heriades leavitti/variolosus,5
Hylaeus 12WEST,5
Hylaeus illinoisensis/species_A,5
Lasioglossum 15cal,5
Lasioglossum 27 WY,5
Lasioglossum 2_Az,5
Lasioglossum 48LAS,5
Lasioglossum 8Wy,5
Lasioglossum 9las,5
Lasioglossum az22,5
Lasioglossum cattellae?,5
Lasioglossum cf_albuquerquense,5
Lasioglossum cf_huqlinum,5
Lasioglossum cf_nigrum,5
Lasioglossum gotham?,5
Lasioglossum near_tenax,5
Lasioglossum perpunctatum?,5
Lasioglossum yell10,5
Liris sp. B,5
Melissodes agilis?,5
Melissodes subillatus?,5
Meloidae BADL103,5
Midge BADL1,5
Nomada cressonii?,5
Nomada crudelis?,5
Nomada sayi/illinoense,5
Osmia new_species_5,5
Oxybelus BADL4,5
Parancistrocerus BADL102,5
Perdita heterothecae_heterothecae,5
Perdita per9,5
Pompilidae BADL100,5
Priocnemis navajo_alaskensis,5
Sphecodes galerus?,5
Sphecodes sph3,5
Sphecodes sphwy3,5
Sphecodes sphwy4,5
Trypoxylon collinum_rubrocinctum,5
Ancistrocerus cf. albophaleratus,4
Ancistrocerus cf. spilogaster,4
Andrena Logan_species_12,4
Andrena Logan_species_13,4
Andrena barbara?,4
Andrena cf_carlini,4
Andrena species_B,4
Anoplius BADL2,4
Anoplochares cf_similaris,4
Anthidium affiliated_with_taeniatum,4
Arachnospila cf_scelesta,4
Ashmeadiella cactorum_basalis,4
Asilidae BADL1,4
Asilidae BADL2,4
Bembix americana_comata,4
Braconidae BADL13,4
Cerambycidae,4
Cerceris BADL105,4
Cheloninae BADL14,4
Colletes hyalinus_gaudialis,4
Colletes simulans_armatus,4
Crabro BADL102,4
Diptera BADL100,4
Diptera BADL105,4
Eucerceris BADL100,4
Evylaeus 1g,4
Evylaeus 6calev,4
Heterocera BADL100,4
Heterocera BADL101,4
Heteroptera BADL10,4
Heteroptera BADL101,4
Hylaeus 1WEST,4
Hylaeus 5WEST,4
Hylaeus ligatus/poeyi,4
Lasioglossum 10EV,4
Lasioglossum 13wycal,4
Lasioglossum 18cal,4
Lasioglossum 3BAWY,4
Lasioglossum 3UT,4
Lasioglossum 47LAS,4
Lasioglossum 4UT,4
Lasioglossum 6las,4
Lasioglossum L1,4
Lasioglossum WY CAL SD,4
Lasioglossum WYCALUT,4
Lasioglossum az13,4
Lasioglossum cf_hudsoniellum,4
Lasioglossum cf_hunteri,4
Lasioglossum near_lilliputense,4
Lasioglossum near_nevadense2,4
Lasioglossum rufitarse?,4
Lasioglossum zephyrus?,4
Liris species1,4
Lonchaeidae BADL1,4
Megachile logan_species_1,4
Meloidae BADL101,4
Meloidae BADL104,4
Mimumesa species_near_nigra,4
Moth BADL8,4
Nomada 35nom,4
Nomada affiliated_texana,4
Nomada cf_texana,4
Nomada lehighensis?,4
Nomada lepida?,4
Nomada near_inepta/denticulata,4
Osmia clarescens/cordata,4
Oxybelus BADL3,4
Passaloecus gracilis_complex,4
Pompilinae BADL2,4
Sphecodes 14sph,4
Sphecodes 23sph,4
Sphecodes 28sph,4
Sphecodes 6sph,4
Sphecodes illinoensis?,4
Sphecodes near_minor,4
Sphecodes sph4,4
Sphecodes sphut4,4
Stictiella pulchella_plana,4
Tabanus nigrovittatus_cubensis,4
Tachinidae BADL1,4
Tachinidae BADL12,4
Tachinidae BADL3,4
Tachysphex,4
Tachysphex BADL13,4
Zygoptera BADL100,4
ceratina dupla,4
no_bees,4
Acmaeodera BADL1,3
Ammophila BADL100,3
Ancistrocerus cf_adiabatus,3
Andrena,3
Andrena (Scrapteropsis)_species,3
Andrena BADL3,3
Andrena CAL1,3
Andrena Logan_species_14,3
Andrena WY1,3
Andrena WY4,3
